"","OTU","kingdom","phylum","class","order","family","genus","species","APE10","APE20","APE21","APE23","APE24","APE25","APE26","APE27","APE29","APE02","APE03","APE04","APE05","APE06","APE08","APE09","DYP10","DYP11","DYP12","DYP13","DYP14","DYP15","DYP16","DYP17","DYP18","DYP01","DYP20","DYP21","DYP22","DYP23","DYP24","DYP25","DYP26","DYP27","DYP28","DYP29","DYP02","DYP31","DYP32","DYP33","DYP34","DYP03","DYP04","DYP05","DYP06","DYP07","DYP08","DYP09","HEI01","HEI02","HEI03","HEI04","LAC10","LAC11","LAC12","LAC01","LAC20","LAC21","LAC22","LAC23","LAC24","LAC25","LAC26","LAC27","LAC28","LAC29","LAC02","LAC03","LAC04","LAC05","LAC06","LAC07","LAC08","LAC09","THEO10","THEO01","THEO20","THEO21","THEO22","THEO23","THEO25","THEO26","THEO27","THEO28","THEO29","THEO02","THEO04","THEO05","THEO06","THEO07","THEO08","APE01","APE22","APE28","APE07","COR10","COR01","COR20","COR21","COR22","COR23","COR24","COR25","COR26","COR27","COR28","COR29","COR02","COR03","COR04","COR05","COR06","COR07","COR08","COR09","CHRY10","CHRY11","CHRY12","CHRY01","CHRY20","CHRY21","CHRY22","CHRY23","CHRY24","CHRY25","CHRY26","CHRY27","CHRY28","CHRY29","CHRY02","CHRY03","CHRY04","CHRY05","CHRY06","CHRY07","CHRY08","CHRY09","HEI10","HEI20","HEI21","HEI22","HEI23","HEI24","HEI25","HEI26","HEI27","HEI28","HEI29","HEI05","HEI06","HEI07","HEI08","HEI09","THEO24","THEO03","THEO09"
"1","OTU_2","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Coremiopassalora","Coremiopassalora_leptophlebae",0,14,0,0,10,0,13,27,8,0,0,0,709,0,0,13,86,3,0,13,0,19,0,34,10,0,8,0,44,40,4,9,27,200,18,0,0,0,0,0,13,121,32,0,59,0,0,0,0,28,11,14,0,0,1266,2,7,718,0,330,0,1265,18,141,14,18,0,1,23,0,311,9,4,52,24410,6428,2988,16608,177,63474,88794,7209,54650,862,1527,278,2006,2684,47,26314,7787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3786,0,0
"2","OTU_1","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_fructicola",483,273,2385,2768,54,479,26,686,69,737,0,1025,25,51401,207,180,605,45,218,18,652,35,0,9,119,51,0,1565,5,161,41,44,30,102,2,249,22,41,26,8,22,17,150,9,62,0,35,74,0,73,2,130,27,11,70,0,83,390,22,166,0,38,231,173,197,501,437,41,66,1,113,0,171,138,401,46,0,1216,1573,226,0,0,220,113,338,318,39,0,91,118,228,0,0,0,0,2242,0,0,1509,0,830,0,1460,0,766,0,0,115,0,392,0,213216,0,223,0,563,0,0,0,0,0,0,0,0,13500,0,0,0,0,0,0,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","OTU_5","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Pseudocercospora","Pseudocercospora_sp",0,0,0,868,0,0,0,171,0,0,0,415,0,0,0,14,0,6,344,0,702,0,863,0,0,36,0,0,0,0,0,0,0,0,80,463,0,0,0,0,0,114,0,0,0,0,0,167,0,0,0,0,0,0,0,0,0,0,0,25,0,450,0,286,256,442,0,0,0,0,7,0,0,0,36065,4913,0,7735,62,17616,22614,5797,44861,1345,89998,40,1112,999,8553,2288,27182,83,203,124,0,0,23,0,0,0,0,12,0,25,0,25,0,0,0,0,0,0,0,0,234,0,0,0,0,0,79,0,0,31,0,0,0,0,0,0,0,0,148,0,0,0,0,0,0,0,0,193,0,0,16,0,65,0,0,0,0,0,0,1315,14596,3543
"4","OTU_7","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sp",0,0,0,0,0,0,0,0,0,506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,19,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,228,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,93,0,420,22,208,1238,24,0,85,0,0,30,0,217,156,414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21605,0,0,72,0,28164,93732,7944,0,2512,5086,804,0,0,417
"5","OTU_3","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_sp",0,0,0,87,0,0,0,0,0,11760,32,896,4,0,114,78,417,133,0,597,0,39,633,47,0,611,2006,0,29,19,121,4,207,0,0,39,14,14,0,98,0,3203,87,60,32,1694,4414,1161,102,54,7,48,0,268,605,0,2,232,15,71,0,235,0,91,4,219,655,53,1950,118,109,601,0,15,1845,4219,40,1199,30,3599,338,1214,152,131,9124,10615,109,4963,10894,3107,2926,0,0,0,0,1329,0,0,0,145,95,0,0,0,0,0,0,0,0,1074,0,0,1851,0,0,274,0,2903,0,1171,2016,2325,3926,3516,1930,0,0,0,0,0,0,1174,2065,3046,676,0,0,0,0,0,30,3321,0,0,0,0,0,0,5156,0,0,0,0,10056,3838,371
"6","OTU_6","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Corynesporascaceae","Corynespora","Corynespora_cassiicola",135,663,1963,1485,1394,0,68,214,51,2005,0,0,8,672,139,69,0,7,0,17,0,4,0,2,8,0,25,0,9,0,4,0,8,0,6,0,7,0,1,5,0,0,9,0,0,83,0,0,1161,0,2,1342,18,10008,1675,3,3,0,792,8,2,3151,0,6,0,501,0,379,0,131,4,520,15,1232,1576,274,66,218,10718,1790,1679,2916,5478,2989,0,0,1317,0,1631,1079,1912,8771,1586,0,765,50,0,0,232,0,2898,1822,1858,0,5118,652,0,1844,0,0,0,0,0,187,775,0,0,0,0,0,0,0,0,0,0,0,1831,0,0,0,0,0,0,0,0,0,0,0,0,0,12110,1345,324,0,0,0,832,0,0,0,340,114,0,1751,952,435
"7","OTU_8","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_sp",0,0,0,0,0,0,0,0,0,315,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,54228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,39833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,311
"8","OTU_9","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zasmidium","Zasmidium_citrigriseum",0,0,0,790,0,0,53,0,0,0,0,0,0,0,0,0,390,15,38,32,75,0,9899,17,78,44,356,31572,0,12,471,134,133,986,26,837,16,0,15,10,0,81,54,1384,25,5,112,13079,0,48,0,0,0,41,0,0,0,0,0,0,0,0,0,91,0,0,0,9,0,0,0,0,6,5,669,216,24,273,0,688,418,0,925,18,7827,274,29,182,156,0,442,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,185,0,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,976,783,1856,0,0,0,129,0,0,45,0,0,0,0,0,0,87
"9","OTU_10","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Neopestalotiopsis","Neopestalotiopsis_sp",414,7,1225,2479,5,1268,3,647,415,960,0,253,6,131,24844,4,2841,0,351,21,258,3,466,2,356,0,0,4505,5,20,0,150,2,238,0,58,70,5,10,0,13,0,96,0,124,0,120,0,0,154,26,160,0,0,0,3,0,0,0,0,0,0,0,7,5,190,16,3,0,8,0,0,0,0,0,0,5,578,0,736,0,0,130,0,262,323,136,0,0,0,917,0,0,0,0,3494,0,0,2506,0,1688,0,311,0,4271,0,0,1109,0,2960,0,0,0,1879,0,19,0,64,0,0,0,212,110,0,0,0,0,0,0,0,0,34,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0
"10","OTU_11","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Scleroramularia","Scleroramularia_henanensis",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,61475,15,0,15,26,0,0,27,8,0,0,0,0,0,20,0,0,0,0,83,0,0,0,3,0,104,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,9,0,0,0,0,9,14,0,0,0,0,58,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
