"X.OTU.ID","Blank1","Blank2","Blank3","Blank4","Blank5","Blank6","Blank7","Blank8","PCR1NEGPLATE1","PCR1NEGPLATE2","PCR2NEGPLATE2"
"OTU_1",0,0,128,296,158,1456,204,9,0,2422,0
"OTU_10",0,0,401,211,0,0,836,0,0,0,0
"OTU_11",0,0,0,1,504,0,0,0,0,0,0
"OTU_12",3,0,0,0,533,1,1,0,0,0,0
"OTU_13",0,0,0,526,0,0,0,1,1,2,0
"OTU_14",0,0,0,467,2,5,0,0,2,151,0
"OTU_15",0,0,1,0,1,1,453,0,1,0,0
"OTU_16",0,0,0,0,0,0,455,0,0,0,0
"OTU_17",0,0,0,0,0,0,0,0,395,0,0
"OTU_18",5,1,1,0,1,0,0,375,1,0,0
"OTU_19",3,1,0,2,1,0,0,376,0,1,0
"OTU_2",0,1,731,615,770,2178,580,1896,0,1358,1
"OTU_20",0,0,0,0,0,0,0,0,381,0,0
"OTU_21",114,41,0,0,1,0,0,0,207,1,0
"OTU_22",2,0,0,352,0,0,0,1,0,0,1
"OTU_23",1,0,356,204,3,1,2,2,0,1,5
"OTU_24",0,0,0,633,0,1,0,0,0,0,0
"OTU_25",0,0,61,67,122,15,10,16,0,54,0
"OTU_26",2,0,0,0,0,273,0,0,1,0,0
"OTU_27",0,0,0,282,0,1,0,132,0,0,0
"OTU_28",0,0,0,0,0,0,0,0,252,0,0
"OTU_29",0,279,0,0,0,0,0,0,0,0,0
"OTU_3",20,6,4,763,1608,455,442,326,8,192,3
"OTU_30",0,0,0,280,0,0,0,0,0,1,0
"OTU_31",0,0,159,435,0,0,0,0,0,185,0
"OTU_32",0,0,0,238,0,0,0,0,0,0,0
"OTU_33",0,0,0,205,1,0,0,0,0,0,0
"OTU_34",1,0,193,0,0,0,0,0,0,0,0
"OTU_35",0,0,0,170,0,0,2,0,0,0,2
"OTU_36",56,0,0,0,15,185,0,1,0,0,0
"OTU_37",0,178,0,0,0,0,0,0,0,22,0
"OTU_38",0,0,170,0,278,0,179,0,0,0,0
"OTU_39",4,0,1,0,2,0,3,0,1,164,0
"OTU_4",7,0,0,702,0,0,246,0,2,1,1
"OTU_40",0,0,0,0,0,0,0,0,0,147,0
"OTU_41",0,0,42,38,67,5,1,14,0,28,0
"OTU_42",0,0,18,35,47,3,2,9,0,18,0
"OTU_43",32,0,100,1,0,0,0,0,0,0,0
"OTU_44",0,0,0,119,0,0,0,0,0,0,0
"OTU_45",1,0,1,277,8,284,196,276,2,0,0
"OTU_46",0,0,0,76,0,1,0,0,0,0,0
"OTU_47",1,0,0,0,0,2,1,1,0,50,0
"OTU_48",0,0,8,21,29,4,1,5,0,17,0
"OTU_49",0,0,14,15,20,2,1,2,0,12,0
"OTU_5",21,40,19,227,273,70,0,18,166,174,1
"OTU_50",17,0,0,0,1,0,0,104,0,0,0
"OTU_51",0,0,8,7,20,2,0,3,0,5,0
"OTU_52",0,0,16,8,17,3,1,4,0,2,0
"OTU_53",0,0,5,16,8,3,2,1,0,5,0
"OTU_54",0,0,13,14,18,2,2,3,0,7,0
"OTU_55",22,1,0,2,0,0,0,9,1,0,0
"OTU_56",0,0,4,6,12,3,1,0,0,1,0
"OTU_57",2,0,2,4,2,0,0,1,19,0,0
"OTU_58",0,0,5,2,6,2,2,1,0,2,0
"OTU_59",0,3,0,1,2,4,0,1,9,0,4
"OTU_6",1,0,0,0,574,204,0,397,1,339,0
"OTU_60",0,0,2,2,5,1,0,1,0,4,0
"OTU_61",0,0,4,2,8,1,0,0,0,3,0
"OTU_62",17,0,0,0,0,0,0,0,0,0,0
"OTU_63",0,0,0,0,0,20,0,0,0,0,0
"OTU_64",3,0,1,0,1,3,0,2,3,1,0
"OTU_65",0,0,4,1,3,1,1,1,0,4,0
"OTU_7",0,0,1,212,52,0,0,306,0,201,0
"OTU_8",2,6,150,65,3,266,0,0,511,646,0
"OTU_9",16,2,259,1,0,529,2,226,1,0,1
