X.OTU.ID,APE10,APE01,APE20,APE21,APE22,APE23,APE24,APE25,APE26,APE27,APE28,APE29,APE02,APE03,APE04,APE05,APE06,APE07,APE08,APE09,COR10,COR01,COR20,COR21,COR22,COR23,COR24,COR25,COR26,COR27,COR28,COR29,COR02,COR03,COR04,COR05,COR06,COR07,COR08,COR09,CHRY10,CHRY11,CHRY12,CHRY01,CHRY20,CHRY21,CHRY22,CHRY23,CHRY24,CHRY25,CHRY26,CHRY27,CHRY28,CHRY29,CHRY02,CHRY03,CHRY04,CHRY05,CHRY06,CHRY07,CHRY08,CHRY09,DYP10,DYP11,DYP12,DYP13,DYP14,DYP15,DYP16,DYP17,DYP18,DYP01,DYP20,DYP21,DYP22,DYP23,DYP24,DYP25,DYP26,DYP27,DYP28,DYP29,DYP02,DYP31,DYP32,DYP33,DYP34,DYP03,DYP04,DYP05,DYP06,DYP07,DYP08,DYP09,HEI10,HEI01,HEI20,HEI21,HEI22,HEI23,HEI24,HEI25,HEI26,HEI27,HEI28,HEI29,HEI02,HEI03,HEI04,HEI05,HEI06,HEI07,HEI08,HEI09,LAC10,LAC11,LAC12,LAC01,LAC20,LAC21,LAC22,LAC23,LAC24,LAC25,LAC26,LAC27,LAC28,LAC29,LAC02,LAC03,LAC04,LAC05,LAC06,LAC07,LAC08,LAC09,THEO10,THEO01,THEO20,THEO21,THEO22,THEO23,THEO24,THEO25,THEO26,THEO27,THEO28,THEO29,THEO02,THEO03,THEO04,THEO05,THEO06,THEO07,THEO08,THEO09
OTU_1,483,60,273,2385,42,2768,54,479,26,686,1,69,737,15,1025,25,51401,50,207,180,2827,11,120,2094,107,1415,424,2045,39,1351,25,2,700,223,977,18,213801,227,808,289,1148,5,76,21,90,244,62,208,229,14085,12,106,2,5,1,7,777,365,277,2,0,33,605,45,218,18,652,35,69,9,119,51,5,1565,5,161,41,44,30,102,2,249,22,41,26,8,22,17,150,9,62,1,35,74,2,0,2,272,27,103,15,71,34,77,11,132,73,2,130,199,265,116,249,53,27,11,70,0,83,390,22,166,0,38,231,173,197,501,437,41,66,1,113,0,171,138,401,46,4,1216,1573,226,569,97,1,220,113,338,318,0,39,4,91,118,228,2
OTU_10,414,6,7,1225,0,2479,5,1268,3,647,0,415,960,2,253,6,131,2,24844,4,3675,4,7,2687,3,1869,70,492,2,4452,2,2,1290,1,3141,0,172,130,2060,43,200,0,245,0,124,149,393,291,80,85,1,65,2,0,1,4,215,1,241,1,0,1,2841,0,351,21,258,3,466,2,356,0,0,4505,5,20,1,150,2,238,0,58,70,5,10,2,13,4,96,2,124,1,120,5,1,1,4,41,1,48,3,39,6,28,164,74,154,26,160,40,240,1,170,1,0,0,0,3,2,2,0,1,0,3,1,7,5,190,16,3,0,8,1,0,1,1,43,3,5,578,9,736,2,51,3,130,5,262,323,0,136,3,26,33,917,1
OTU_100,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,55,1,0,0,0,0,298,0,32,4,24,0,25,0,39,1,0,333,0,22,1,102,3,13,0,3,3,0,0,1,1,1,12,0,69,7,102,1,0,0,1,0,0,0,0,0,0,1,2,2,0,0,0,0,0,0,0,0,0,0,15,0,0,27,0,24,0,0,0,16,0,0,0,0,45,0,46,0,45,26,126,1,1,152,0,79,0,44,0,44,0,49,0,0,99,0,86,3,44,0
OTU_1000,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,1,0,0,0,0,0,33,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU_1005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,2,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
OTU_1006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
