Species,Unique ID,E_load,Leaf_ID,Trial_date_ant,Colony_ID,Colony_location_Pipeline-Gamboa,Picture_ID,Time_start_trial,Attempt,Time_first_contact,Time_first_cut,Time_end_elapsed_trial,Trial_success,Leaf_area_initial,Leaf_area_final,Total_leaf_area_cut,Analyzer,Date_analyzed,X_coordinates,Y_coordinates,Elevation_meters
DYPTE,T5_E-_DYP_09,E-,D,6/21/2019,COL15,Gamboa,,10:11 AM,1,0:06:53,0:06:53,2:10:00,1,1543.163,492.534,1050.629,MD,1.14.20,,,
DYPTE,T5_E+_DYP_10,E+,D,6/21/2019,COL15,Gamboa,,10:11 AM,1,0:13:34,0:54:00,2:10:00,1,1619.591,1603.532,16.059,MD,1.14.20,,,
DYPTE,T6_E-_DYP_11,E-,D,6/22/2019,COL18,Gamboa,,9:23 AM,1,0:15:00,0:29:00,2:00:50,1,2577.858,2577.858,0,MD,1.14.20,,,
DYPTE,T6_E+_DYP_12,E+,D,6/22/2019,COL18,Gamboa,,9:23 AM,1,0:45:15,,2:00:50,1,1685.429,1685.429,0,MD,1.14.20,,,
DYPTE,T7_E-_DYP_13,E-,D,6/24/2019,COL23,Gamboa,,1:36 PM,1,0:11:37,0:24:45,2:00:00,1,2802.196,2559.52,242.676,MD,1.23.20,,,
DYPTE,T7_E+_DYP_14,E+,D,6/24/2019,COL23,Gamboa,,1:36 PM,1,0:10:28,0:13:30,2:00:00,1,2978.68,2572.945,405.735,MD,1.23.20,,,
DYPTE,T8_E-_DYP_15,E-,D,6/26/2019,COL02,Pipeline,,10:12 AM,2,0:06:00,0:19:00,2:00:00,1,1940.856,1832.929,107.927,MD,1.23.20,,,
DYPTE,T8_E+_DYP_16,E+,D,6/26/2019,COL02,Pipeline,,10:12 AM,2,0:21:20,0:23:00,2:00:00,1,4202.472,2833.041,1369.431,MD,1.23.20,,,
DYPTE,T9_E-_DYP_17,E-,D,6/27/2019,COL01,Pipeline,,10:38 AM,2,0:01:30,,1:22:00,0,,,,,,,,
DYPTE,T9_E+_DYP_18,E+,D,6/27/2019,COL01,Pipeline,,10:38 AM,2,0:04:25,,1:22:00,0,,,,,,,,
DYPTE,T10_E-_DYP_31,E-,D,6/28/2019,COL05,Pipeline,,10:27 AM,2,0:06:53,0:07:00,2:02:00,1,,1530.059,,MD,1.23.20,,,
DYPTE,T10_E+_DYP_32,E+,D,6/28/2019,COL05,Pipeline,,10:27 AM,2,0:03:30,0:07:30,2:02:00,1,1232.196,847.644,384.552,MD,1.23.20,,,
DYPTE,T11_E-_DYP_33,E-,D,6/28/2019,COL16,Gamboa,,3:42 PM,1,0:17:39,1:03:00,2:00:00,1,2454.253,2423.04,31.213,MD,1.23.20,,,
DYPTE,T11_E+_DYP_34,E+,D,6/28/2019,COL16,Gamboa,,3:42 PM,1,0:16:20,0:16:53,2:00:00,1,3536.403,3443.402,93.001,MD,1.23.20,,,
LACPA,T1_E-_LAC_01,E-,D,6/24/2019,COL17,Gamboa,,10:17 AM,2,17:30:00,,2:00:00,0,,,,,,,,
LACPA,T1_E+_LAC_02,E+,D,6/24/2019,COL17,Gamboa,,10:17 AM,2,0:45:30,,2:00:00,0,,,,,,,,
LACPA,T2_E-_LAC_03,E-,D,6/26/2019,COL13,Gamboa,,3:35 PM,2,0:00:01,0:00:10,0:08:00,1,323.061,222.967,100.094,MD,11.22.19,,,
LACPA,T2_E+_LAC_04,E+,D,6/26/2019,COL13,Gamboa,,3:35 PM,2,0:01:20,0:04:00,0:08:00,1,312.184,113.07,199.114,MD,11.22.19,,,
LACPA,T3_E-_LAC_05,E-,D,6/27/2019,COL11,Gamboa,,3:45 PM,2,0:06:11,0:11:50,0:34:23,1,945.25,299.647,645.603,MD,11.22.19,,,
LACPA,T3_E+_LAC_06,E+,D,6/27/2019,COL11,Gamboa,,3:45 PM,2,0:07:43,0:20:30,0:34:23,1,724.199,464.876,259.323,MD,11.22.19,,,
LACPA,T4_E-_LAC_07,E-,D,7/1/2019,COL22,Gamboa,,9:15 AM,1,0:01:00,0:04:14,0:15:00,1,796.636,233.705,562.931,MD,11.22.19,,,
LACPA,T4_E+_LAC_08,E+,D,7/1/2019,COL22,Gamboa,,9:15 AM,1,0:01:00,0:10:30,0:15:00,1,617.751,444.235,173.516,MD,11.22.19,,,
LACPA,T5_E-_LAC_09,E-,D,7/1/2019,COL10,Gamboa,,2:45 PM,1,0:07:35,1:01:45,2:00:00,1,679.474,416.347,263.127,MD,11.22.19,,,
LACPA,T5_E+_LAC_10,E+,D,7/1/2019,COL10,Gamboa,,2:45 PM,1,0:07:39,1:10:30,2:00:00,1,797.196,231.276,565.92,MD,11.22.19,,,
LACPA,T6_E-LAC_11,E-,D,7/4/2019,COL04,Pipeline,,1:50 PM,1,0:15:55,0:15:55,0:42:18,1,919.68,149.556,770.124,MD,11.22.19,,,
LACPA,T6_E+LAC_12,E+,D,7/4/2019,COL04,Pipeline,,1:50 PM,1,0:35:06,0:35:06,0:42:18,1,611.325,383.792,227.533,MD,11.22.19,,,
THEOCA,T1_E-_THEO_01,E-,D,7/3/2019,COL21,Gamboa,,9:48 AM,1,0:01:47,0:03:00,0:40:08,1,1452.451,995.829,456.622,MD,11.21.19,,,
THEOCA,T1_E+_THEO_02,E+,D,7/3/2019,COL21,Gamboa,,9:48 AM,1,0:19:11,0:20:49,0:40:08,1,1341.816,1163.801,178.015,MD,11.21.19,,,
THEOCA,T2_E-_THEO_03,E-,D,7/3/2019,COL26,Gamboa,,1:08 PM,1,0:00:30,0:01:30,2:00:00,1,1737.939,970.528,767.411,MD,11.21.19,,,
THEOCA,T2_E+_THEO_04,E+,D,7/3/2019,COL26,Gamboa,,1:08 PM,1,0:07:35,0:45:16,2:00:00,1,1393.276,1370.261,23.015,MD,11.21.19,,,
THEOCA,T3_E-_THEO_05,E-,D,7/4/2019,COL27,Gamboa,,4:30 PM,4,0:03:20,0:08:45,1:25:11,1,1182.283,423.994,758.289,MD,11.21.19,,,
