#OTU ID,T1_OBS,T2_OBS,T3_OBS,E1_OBS,E2_OBS,E3_OBS,MockBlank_R1,MockNeg_R1,Code,Phylum,Species,Ratio,T1_EXP,T2_EXP,T3_EXP,E1_EXP,E2_EXP,E3_EXP,T1_OBS_PCT,T2_OBS_PCT,T3_OBS_PCT,E1_OBS_PCT,E2_OBS_PCT,E3_OBS_PCT,NOTES
OTU_1,47318,32065,27684,27047,31308,25982,1,1293,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557,4954.336161,3748.857539,3166.246322,4702.911546,4687.992037,4743.123594,42.15787598,37.75462145,38.59419219,25.38575612,29.47856053,24.17942394,
OTU_10,0,0,0,0,0,0,19,66397,na,#N/A,#N/A,0,0,0,0,0,0,0,0,0,0,0,0,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_11,3233,3498,2982,1481,616,1596,629,359,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059,5051.480007,3822.364549,3228.329583,4795.125498,4779.91345,4836.126017,2.880434783,4.118685977,4.157198422,1.390036041,0.580004896,1.485272905,
OTU_12,627,455,348,3197,4522,3343,0,0,CBS408.71,Basidiomycota,Sparassis crispa,0.009001212,1010.296001,764.4729098,645.6659166,959.0250995,955.98269,967.2252034,0.558624376,0.535735311,0.485145892,3.000638234,4.257763215,3.11106975,
OTU_13,823,801,726,4099,2912,3981,0,0,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261,893.7233858,676.2644971,571.1660031,848.3683573,845.676995,855.6222953,0.733250178,0.943129636,1.012114706,3.847236822,2.741841327,3.704806663,
OTU_14,664,612,555,1405,779,1389,298,14925,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261,893.7233858,676.2644971,571.1660031,848.3683573,845.676995,855.6222953,0.591589451,0.72059343,0.773724052,1.31870401,0.733480218,1.292634126,*If Observed and expected values were negative values then I changed it to zero. 
OTU_15,1675,1834,1456,2016,938,2132,0,0,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853,2622.88385,1984.689285,1676.248053,2489.776701,2481.878137,2511.065432,1.492337847,2.159425409,2.029805802,1.892176002,0.883189274,1.984086362,
OTU_16,1848,1893,1565,910,547,967,0,0,CBS210.32,Zygomycota,Mortierella alpina,0.026830535,3011.459235,2278.717327,1924.581097,2858.632508,2849.563787,2883.075125,1.646471846,2.228894384,2.181762418,0.854107223,0.515036815,0.899911591,
OTU_17,930,896,814,1484,2065,1453,0,0,CBS6001,Basidiomycota,Malassezia,0.017483123,1962.305695,1484.841613,1254.081876,1862.721828,1856.812532,1878.648953,0.828581611,1.054986459,1.134795277,1.39285178,1.944334595,1.352193942,
OTU_18,0,0,0,0,0,0,261,13133,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,2758.885235,2087.5991,1763.164618,2618.876233,2610.568115,2641.268825,0,0,0,0,0,0,
OTU_19,2117,1868,1344,237,131,292,0,0,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,2758.885235,2087.5991,1763.164618,2618.876233,2610.568115,2641.268825,1.88613685,2.199458377,1.873666894,0.22244331,0.123345197,0.271741659,
OTU_2,2297,2213,1850,27456,21874,29293,0,374,P3112,Basidiomycota,Pucciniomycotina,0.004067855,456.5760775,345.4829496,291.7913277,433.4055738,432.0306387,437.11139,2.046507484,2.605675262,2.579080175,25.76963508,20.59582321,27.26071379,
OTU_20,203,107,124,1743,1733,1703,307,0,CBS124948,Ascomycota,Colletotrichum tropicale,0.010948589,1228.869656,929.8636836,785.3532543,1166.506491,1162.805868,1176.480656,0.180862438,0.125986106,0.172868077,1.635943835,1.631734554,1.584849472,
OTU_21,1372,1048,826,353,307,402,0,0,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131,11268.68617,8526.813225,7201.6583,10696.81842,10662.88385,10788.28111,1.222380613,1.233957377,1.151524445,0.331318516,0.289060882,0.374110093,
OTU_22,852,665,611,657,288,600,0,0,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059,5051.480007,3822.364549,3228.329583,4795.125498,4779.91345,4836.126017,0.759087669,0.782997763,0.851793506,0.616646644,0.27117112,0.558373273,
OTU_23,646,786,708,370,183,378,159,1,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236,3147.46062,2381.627142,2011.497663,2987.732041,2978.253765,3013.278518,0.575552388,0.925468032,0.987020953,0.347274366,0.172306649,0.351775162,
OTU_24,593,519,413,396,195,474,0,0,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631,2642.312619,1999.390687,1688.664705,2508.219491,2500.26242,2529.665917,0.528332145,0.611091487,0.575762223,0.371677429,0.183605446,0.441114885,
OTU_25,128,131,81,821,1158,775,0,0,#N/A,#N/A,#N/A,0,0,0,0,0,0,0,0.11404134,0.154244672,0.112921889,0.77057366,1.090333879,0.721232144,*No OTUs from BLAST.
OTU_26,0,0,0,0,1,0,1,3265,CBS6965,Basidiomycota,Tremella aurantia,0.018521724,2078.878311,1573.050026,1328.58179,1973.37857,1967.118227,1990.251861,0,0,0,0,0.000941566,0,
OTU_27,233,280,227,484,138,433,0,0,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717,1496.015233,1132.007963,956.0822226,1420.094859,1415.589752,1432.23732,0.207590877,0.329683269,0.316460108,0.454272413,0.129936162,0.402959378,
OTU_28,122,122,89,147,79,169,0,0,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234,2953.172927,2234.613121,1887.331141,2803.304137,2794.41094,2827.273671,0.108695652,0.14364771,0.124074668,0.137971167,0.074383745,0.157275138,
OTU_29,0,0,0,0,0,0,1,935,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059,5051.480007,3822.364549,3228.329583,4795.125498,4779.91345,4836.126017,0,0,0,0,0,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_3,2430,2566,1944,865,573,872,36378,9,CBS675.73,Chytridiomycota,Chytridium confervae,0.057123074,6411.493855,4851.462697,4097.49524,6086.120824,6066.813225,6138.159945,2.165003564,3.021311668,2.710125329,0.811871152,0.539517541,0.811502489,*If Observed and expected values were negative values then I changed it to zero. 
OTU_30,0,0,0,0,0,0,0,325,CBS130337,Ascomycota,Fusarium torulosum,0.012895967,1447.44331,1095.254457,925.040592,1373.987883,1369.629046,1385.736109,0,0,0,0,0,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_31,0,0,0,0,0,0,322,0,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,2758.885235,2087.5991,1763.164618,2618.876233,2610.568115,2641.268825,0,0,0,0,0,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_32,0,1,0,1,0,0,0,312,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059,5051.480007,3822.364549,3228.329583,4795.125498,4779.91345,4836.126017,0,0.00117744,0,0.000938579,0,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_33,0,0,0,0,0,0,0,613,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853,2622.88385,1984.689285,1676.248053,2489.776701,2481.878137,2511.065432,0,0,0,0,0,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_34,0,0,0,0,0,0,0,974,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,2758.885235,2087.5991,1763.164618,2618.876233,2610.568115,2641.268825,0,0,0,0,0,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_35,7,1,0,4,9,4,1,317,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131,11268.68617,8526.813225,7201.6583,10696.81842,10662.88385,10788.28111,0.006236636,0.00117744,0,0.003754317,0.008474098,0.003722488,*If Observed and expected values were negative values then I changed it to zero. 
OTU_36,68,69,62,23,18,27,0,0,CBS107.57,Basidiomycota,Suillus brevipes,0.079193353,8888.661935,6725.891466,5680.618401,8437.576597,8410.809244,8509.721741,0.060584462,0.081243377,0.086434038,0.021587325,0.016948195,0.025126797,
OTU_37,0,0,0,0,0,0,0,332,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236,3147.46062,2381.627142,2011.497663,2987.732041,2978.253765,3013.278518,0,0,0,0,0,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_38,7,10,9,24,18,24,135,0,CBS119120,Ascomycota,Trichoderma theobromicola,0.009087762,1020.010386,771.8236109,651.8742427,968.2464947,965.1748312,976.5254457,0.006236636,0.011774402,0.012546877,0.022525905,0.016948195,0.022334931,*If Observed and expected values were negative values then I changed it to zero. 
OTU_39,0,0,0,0,0,0,0,217,CBS116499,Ascomycota,Seimatosporium lonicerae,0.051064566,5731.486931,4336.913623,3662.912411,5440.623161,5423.363337,5487.142981,0,0,0,0,0,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_4,23924,18248,14995,3443,2235,3850,0,0,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133,11462.97386,8673.827246,7325.824823,10881.24632,10846.72667,10974.28596,21.3150392,21.48592959,20.90449039,3.231528758,2.104400881,3.582895165,
OTU_40,0,0,0,0,0,0,151,0,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,2758.885235,2087.5991,1763.164618,2618.876233,2610.568115,2641.268825,0,0,0,0,0,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_41,0,1,0,0,1,0,0,148,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059,5051.480007,3822.364549,3228.329583,4795.125498,4779.91345,4836.126017,0,0.00117744,0,0,0.000941566,0,*If Observed and expected values were negative values then I changed it to zero. 
OTU_42,308,210,194,407,520,362,0,0,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,5148.623853,3895.87156,3290.412844,4887.33945,4871.834862,4929.12844,0.274411974,0.247262451,0.270454894,0.382001802,0.489614523,0.336885208,
OTU_43,25,2,0,5,21,2,0,0,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717,1496.015233,1132.007963,956.0822226,1420.094859,1415.589752,1432.23732,0.022273699,0.00235488,0,0.004692897,0.019772894,0.001861244,
OTU_44,7,1,2,15,6,8,0,0,#N/A,0,#N/A,0,0,0,0,0,0,0,0.006236636,0.00117744,0.002788195,0.01407869,0.005649398,0.007444977,*No OTUs from BLAST.
OTU_45,0,0,0,18,1,11,0,0,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717,1496.015233,1132.007963,956.0822226,1420.094859,1415.589752,1432.23732,0,0,0,0.016894429,0.000941566,0.010236843,*If Observed and expected values were negative values then I changed it to zero. 
OTU_46,3,6,1,13,4,8,3,0,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,2758.885235,2087.5991,1763.164618,2618.876233,2610.568115,2641.268825,0.002672844,0.007064641,0.001394097,0.012201532,0.003766266,0.007444977,
