OTU_ID,Code,Phylum,Species,Ratio,EVEN_TIER,Pct_number,Pct,Expected,Observed,log10Expected,log10Observed
OTU_1,CBS158.61,Ascomycota,Acremonium kiliense,0.044140557,T1,T_PCT1,44.19477813,4596.753505,46024,3.662451216,4.662984361
OTU_15,CBS388.52,Ascomycota,Botryotinia sp.,0.02336853,T1,T_PCT1,1.608427198,2433.575385,1675,3.386244804,3.224014811
OTU_27,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717,T1,T_PCT1,0.223739425,1388.039294,233,3.142401761,2.367355921
OTU_43,CBS100462,Ascomycota,Cladosporium sphaerospermum,0.013328717,T1,T_PCT1,0.024006376,1388.039294,25,3.142401761,1.397940009
OTU_11,CBS121445,Ascomycota,Coniochaeta prunicola,0.045006059,T1,T_PCT1,2.155772573,4686.885927,2245,3.670884383,3.351216345
OTU_22,CBS197.82,Ascomycota,Dendrothyrium variisporum,0.045006059,T1,T_PCT1,0.818137297,4686.885927,852,3.670884383,2.930439595
OTU_13,CBS161.73,Ascomycota,Epicoccum nigrum,0.00796261,T1,T_PCT1,0.790289901,829.2182794,823,2.918668867,2.915399835
OTU_9,CBS130337,Ascomycota,Fusarium torulosum,0.012895967,T1,T_PCT1,1.730379589,1342.973083,1802,3.128067308,3.255754787
OTU_24,CBS130859,Ascomycota,Hypocrea orientalis,0.023541631,T1,T_PCT1,0.569431241,2451.601869,593,3.389449944,2.773054693
OTU_21,CBS110123,Ascomycota,Lecanicillium muscarium,0.100398131,T1,T_PCT1,1.31746992,10455.36091,1372,4.019339029,3.137354111
OTU_17,CBS6001,Basidiomycota,Malassezia,0.017483123,T1,T_PCT1,0.893037191,1820.674918,930,3.260232409,2.968482949
OTU_42,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,T1,T_PCT1,0.295758553,4777.018349,308,3.679156909,2.488550717
OTU_5,CBS7744,Ascomycota,Metschnikowia agaves,0.04587156,T1,T_PCT1,5.145046524,4777.018349,5358,3.679156909,3.729002709
OTU_16,CBS210.32,Zygomycota,Mortierella alpina,0.026830535,T1,T_PCT1,1.774551321,2794.105072,1848,3.446242734,3.266701967
OTU_28,CBS122753,Ascomycota,Neophaeomoniella zymoides,0.026311234,T1,T_PCT1,0.117151115,2740.025619,122,3.437754623,2.086359831
OTU_4,CBS251.37,Basidiomycota,Panaeolina foenisecii,0.102129133,T1,T_PCT1,22.97314167,10635.62576,23924,4.026763047,4.378833794
OTU_23,CBS186.71,Ascomycota,Pestalotiopsis chamaeropis,0.028042236,T1,T_PCT1,0.466683951,2920.290462,486,3.46542605,2.686636269
OTU_2,P3112,Basidiomycota,Pucciniomycotina,0.004067855,T1,T_PCT1,1.846570449,423.6223819,1923,2.626978898,3.283979284
OTU_19,CBS352,Ascomycota,Schizosaccharomyces pombe,0.024580232,T1,T_PCT1,2.032859928,2559.760775,2117,3.40819938,3.325720858
