"","OTU","kingdom","phylum","class","order","family","genus","species","s.APEIME","s.CHRYCA","s.CORDAL","s.DYPTE","s.HEISCO","s.LACPA","s.THEOCA","index","stat","p.value","p.value.bh"
"1","OTU_2","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Coremiopassalora","Coremiopassalora_leptophlebae",0,0,0,0,0,0,1,7,0.616353340665488,0.004,0.175090909090909
"2","OTU_5","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Pseudocercospora","Pseudocercospora_sp",0,0,0,0,0,0,1,7,0.706716563564771,0.004,0.175090909090909
"3","OTU_14","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota_sp",0,0,0,0,0,0,1,7,0.735043331627328,0.014,0.3410625
"4","OTU_17","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_luffae",0,1,0,0,0,0,0,2,0.923333814236487,0.006,0.175090909090909
"5","OTU_32","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta","Phyllosticta_capitalensis",0,0,0,1,0,0,0,4,0.604124121812087,0.023,0.388578947368421
"6","OTU_38","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Pallidocercospora","Pallidocercospora_heimii",0,0,0,1,0,0,0,4,0.767715123696935,0.023,0.388578947368421
"7","OTU_785","Fungi","Ascomycota","Sordariomycetes","Xylariales","unidentified","unidentified","Xylariales_sp",0,1,0,0,0,0,0,2,0.732683409847321,0.02,0.377647058823529
"8","OTU_59","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zasmidium","Zasmidium_sp",0,1,0,0,0,0,0,2,0.827074967399683,0.015,0.3410625
"9","OTU_53","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Clavicipitaceae","unidentified","Clavicipitaceae_sp",0,0,0,0,1,0,0,5,0.553020842490203,0.006,0.175090909090909
"10","OTU_58","Fungi","Ascomycota","Sordariomycetes","Xylariales","unidentified","unidentified","Xylariales_sp",0,1,0,0,0,0,0,2,0.830671176374437,0.013,0.3410625
"11","OTU_87","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","unidentified","Xylariaceae_sp",0,1,0,0,0,0,0,2,0.96512283804833,0.006,0.175090909090909
"12","OTU_90","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_costaricense",0,1,0,0,0,0,0,2,0.930858844402722,0.006,0.175090909090909
"13","OTU_212","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",0,0,1,0,0,0,0,3,0.742547589058275,0.017,0.3410625
"14","OTU_142","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypoxylon","Hypoxylon_hypomiltum",0,0,1,0,0,0,0,3,0.781583088320679,0.017,0.3410625
"15","OTU_197","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces_rothmanniae",0,1,0,0,0,0,0,2,0.813159496285522,0.006,0.175090909090909
"16","OTU_182","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Kretzschmaria","Kretzschmaria_pavimentosa",0,1,0,0,0,0,0,2,0.984027127966164,0.006,0.175090909090909
"17","OTU_211","Fungi","Ascomycota","Arthoniomycetes","Lichenostigmatales","Phaeococcomycetaceae","Phaeococcomyces","Phaeococcomyces_rothmanniae",0,1,0,0,0,0,0,2,0.921465303480861,0.006,0.175090909090909
"18","OTU_248","Fungi","Ascomycota","Sordariomycetes","Microascales","Microascaceae","Microascus","Microascus_trigonosporus",0,1,0,0,0,0,0,2,0.882282409071986,0.006,0.175090909090909
"19","OTU_433","Fungi","Ascomycota","Sordariomycetes","Boliniales","unidentified","unidentified","Boliniales_sp",0,0,0,0,1,0,0,5,0.967052744805553,0.006,0.175090909090909
