"","OTU","kingdom","phylum","class","order","family","genus","species","s.APEIME","s.CHRYCA","s.CORDAL","s.DYPTE","s.HEISCO","s.LACPA","s.THEOCA","index","stat","p.value","p.value.bh"
"1","OTU_2","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Coremiopassalora","Coremiopassalora_leptophlebae",0,0,0,0,0,0,1,7,0.581752388891805,0.001,0.0337142857142857
"2","OTU_5","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Pseudocercospora","Pseudocercospora_sp",0,0,0,0,0,0,1,7,0.626046803974143,0.001,0.0337142857142857
"3","OTU_7","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_sp",0,0,0,0,1,0,0,5,0.424598497061286,0.034,0.208415584415584
"4","OTU_3","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_sp",0,0,0,0,0,0,1,7,0.512428531969652,0.006,0.104888888888889
"5","OTU_11","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Scleroramularia","Scleroramularia_henanensis",0,0,0,1,0,0,0,4,0.462770046397339,0.017,0.167166666666667
"6","OTU_12","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Uwebraunia","Uwebraunia_dekkeri",0,0,0,1,0,0,0,4,0.42522504544753,0.017,0.167166666666667
"7","OTU_14","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota_sp",0,0,0,0,0,0,1,7,0.734797596539311,0.001,0.0337142857142857
"8","OTU_18","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium","Ramichloridium_apiculatum",0,0,0,1,0,0,0,4,0.444654384776507,0.011,0.144222222222222
"9","OTU_29","Fungi","Ascomycota","Dothideomycetes","unidentified","unidentified","unidentified","Dothideomycetes_sp",0,0,0,0,0,0,1,7,0.390560088785155,0.023,0.180933333333333
"10","OTU_17","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_luffae",0,1,0,0,0,0,0,2,0.679863571912389,0.001,0.0337142857142857
"11","OTU_20","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_sp",0,1,0,0,0,0,1,18,0.413206999187611,0.036,0.217846153846154
"12","OTU_39","Fungi","Ascomycota","Sordariomycetes","Hypocreales","unidentified","unidentified","Hypocreales_sp",0,0,0,0,0,0,1,7,0.403180778560741,0.04,0.222741573033708
"13","OTU_22","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_citrinum",0,1,0,0,0,0,0,2,0.534137148410941,0.002,0.0472
"14","OTU_56","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",0,1,0,0,0,0,0,2,0.507016928268057,0.005,0.0944
