"","OTU","kingdom","phylum","class","order","family","genus","species","s.APEIME","s.CHRYCA","s.CORDAL","s.DYPTE","s.HEISCO","s.LACPA","s.THEOCA","index","stat","p.value","p.value.bh"
"1","OTU_2","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Coremiopassalora","Coremiopassalora_leptophlebae",0,0,0,0,0,0,1,7,0.75865486067647,0.011,0.204285714285714
"2","OTU_3","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Trichocomaceae","Talaromyces","Talaromyces_sp",0,0,0,0,0,0,1,7,0.698344175954867,0.05,0.65
"3","OTU_9","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Zasmidium","Zasmidium_citrigriseum",0,0,0,1,0,0,1,25,0.700507309449245,0.029,0.45
"4","OTU_10","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Neopestalotiopsis","Neopestalotiopsis_sp",0,0,1,0,0,0,0,3,0.80767927533213,0.012,0.212727272727273
"5","OTU_18","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Dissoconiaceae","Ramichloridium","Ramichloridium_apiculatum",0,0,0,1,0,0,0,4,0.949530496873493,0.005,0.137647058823529
"6","OTU_20","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Cladosporium","Cladosporium_sp",0,0,0,0,0,0,1,7,0.646738656122946,0.03,0.45
"7","OTU_33","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Nemania","Nemania_sp",0,1,1,0,0,0,0,14,0.78741527364401,0.004,0.137647058823529
"8","OTU_32","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta","Phyllosticta_capitalensis",0,0,0,1,0,0,0,4,0.694873919680013,0.033,0.473571428571429
"9","OTU_31","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_longicolla",0,0,1,0,0,0,0,3,0.848242230993228,0.006,0.137647058823529
"10","OTU_38","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Pallidocercospora","Pallidocercospora_heimii",1,0,0,0,0,0,1,13,0.802019131053637,0.001,0.137647058823529
"11","OTU_62","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",0,0,1,0,0,0,0,3,0.97671107806922,0.006,0.137647058823529
"12","OTU_52","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota_sp",0,0,1,0,0,0,0,3,0.859516052100237,0.006,0.137647058823529
"13","OTU_99","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,0,1,0,0,0,0,3,0.951707856326664,0.006,0.137647058823529
"14","OTU_78","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Annulohypoxylon","Annulohypoxylon_stygium",0,0,1,0,0,0,0,3,0.832424820739146,0.009,0.195
"15","OTU_101","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Hypoxylon","Hypoxylon_sp",0,0,1,0,0,0,0,3,0.881065827278573,0.006,0.137647058823529
"16","OTU_223","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_sp",0,0,1,0,0,0,0,3,0.808453532684124,0.011,0.204285714285714
"17","OTU_172","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_curta",0,0,1,0,0,0,0,3,0.94711261944573,0.006,0.137647058823529
"18","OTU_117","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Cladosporiaceae","Melomastia","Melomastia_sp",0,0,1,0,0,0,0,3,0.979661402622362,0.006,0.137647058823529
