"","OTU","kingdom","phylum","class","order","family","genus","species","s.APEIME","s.CHRYCA","s.CORDAL","s.DYPTE","s.HEISCO","s.LACPA","s.THEOCA","index","stat","p.value","p.value.bh"
"1","OTU_2","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Coremiopassalora","Coremiopassalora_leptophlebae",0,0,0,0,0,0,1,7,0.806328972166926,0.007,0.1182
"2","OTU_1","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Glomerellaceae","Colletotrichum","Colletotrichum_fructicola",1,0,1,0,0,0,0,9,0.835981625601606,0.011,0.139806451612903
"3","OTU_5","Fungi","Ascomycota","Dothideomycetes","Capnodiales","Mycosphaerellaceae","Pseudocercospora","Pseudocercospora_sp",0,0,0,0,0,0,1,7,0.761672266019125,0.007,0.1182
"4","OTU_6","Fungi","Ascomycota","Dothideomycetes","Pleosporales","Corynesporascaceae","Corynespora","Corynespora_cassiicola",0,0,1,0,0,0,1,22,0.732840266707558,0.008,0.1182
"5","OTU_10","Fungi","Ascomycota","Sordariomycetes","Xylariales","Sporocadaceae","Neopestalotiopsis","Neopestalotiopsis_sp",1,0,1,0,0,0,0,9,0.795587019703661,0.007,0.1182
"6","OTU_14","Fungi","Ascomycota","unidentified","unidentified","unidentified","unidentified","Ascomycota_sp",0,1,0,0,0,0,1,18,0.688352581132101,0.03,0.2955
"7","OTU_17","Fungi","Ascomycota","Sordariomycetes","Hypocreales","Nectriaceae","Fusarium","Fusarium_luffae",0,1,0,0,0,0,0,2,0.850259911520158,0.009,0.1182
"8","OTU_22","Fungi","Ascomycota","Eurotiomycetes","Eurotiales","Aspergillaceae","Penicillium","Penicillium_citrinum",0,1,0,0,0,0,0,2,0.660355731784737,0.039,0.374780487804878
"9","OTU_56","Fungi","Ascomycota","Sordariomycetes","Xylariales","Xylariaceae","Xylaria","Xylaria_sp",0,1,0,0,0,0,0,2,0.720784003277296,0.009,0.1182
"10","OTU_32","Fungi","Ascomycota","Dothideomycetes","Botryosphaeriales","Phyllostictaceae","Phyllosticta","Phyllosticta_capitalensis",0,0,1,1,0,0,0,19,0.717399598669728,0.027,0.272769230769231
"11","OTU_31","Fungi","Ascomycota","Sordariomycetes","Diaporthales","Diaporthaceae","Diaporthe","Diaporthe_longicolla",0,0,1,0,0,0,0,3,0.984073757952931,0.008,0.1182
"12","OTU_785","Fungi","Ascomycota","Sordariomycetes","Xylariales","unidentified","unidentified","Xylariales_sp",0,1,0,0,0,0,0,2,0.711508162225405,0.02,0.218888888888889
