query,match,e-value,percent,coverage,bitscore,kingdom,phylum,class,order,family,genus,species
OTU_999,KP986510|SH1517362.08FU,1.22e-124,100.000,233,448,Fungi,Basidiomycota,Tremellomycetes,Tremellales,Tremellaceae,Tremella,Tremella_aurantia
OTU_997,MT571523|SH3590951.08FU,1.37e-109,94.821,251,398,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_sp
OTU_996,HM138670|SH1555654.08FU,4.09e-117,97.095,241,423,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Ganodermataceae,Ganoderma,Ganoderma_sp
OTU_995,UDB0674149|SH2730927.08FU,1.16e-36,85.714,168,156,Fungi,Ascomycota,Leotiomycetes,unidentified,unidentified,unidentified,Leotiomycetes_sp
OTU_994,KJ831953|SH1650077.08FU,4.06e-106,99.034,207,387,Fungi,Basidiomycota,Agaricomycetes,Agaricales,unidentified,unidentified,Agaricales_sp
OTU_993,GQ254683|SH1565441.08FU,8.38e-104,93.600,250,379,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Lophiostomataceae,Lophiostoma,Lophiostoma_sp
OTU_992,MF574047|SH1565965.08FU,1.77e-134,100.000,250,481,Fungi,Basidiomycota,Agaricomycetes,Polyporales,Polyporaceae,unidentified,Polyporaceae_sp
OTU_990,AY571032|SH1510628.08FU,7.55e-130,99.600,250,465,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Marasmiaceae,Chaetocalathus,Chaetocalathus_liliputianus
OTU_99,MK335817|SH1546886.08FU,9.64e-133,99.600,250,475,Fungi,Ascomycota,Sordariomycetes,Diaporthales,Diaporthaceae,Diaporthe,Diaporthe_sp
OTU_989,KJ174427|SH1543730.08FU,8.44e-115,96.800,250,415,Fungi,Ascomycota,Sordariomycetes,Glomerellales,Glomerellaceae,Colletotrichum,Colletotrichum_gloeosporioides
OTU_988,KX020560|SH1561368.08FU,4.63e-124,99.574,235,446,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales_sp
OTU_987,MK039694|SH1563686.08FU,2.39e-34,94.000,100,148,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariales_fam_Incertae_sedis,Castanediella,Castanediella_sp
OTU_986,UDB028192|SH1600082.08FU,9.44e-100,95.853,217,365,Fungi,Basidiomycota,Agaricomycetes,Hymenochaetales,Schizoporaceae,Oxyporus,Oxyporus_millavensis
OTU_985,KP235555|SH1517147.08FU,1.68e-57,88.265,196,225,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Chaetothyriaceae,unidentified,Chaetothyriaceae_sp
OTU_984,KU141290|SH1241329.08FU,5.63e-50,83.730,252,200,Fungi,Basidiomycota,Agaricomycetes,Russulales,Russulaceae,Russula,Russula_sp
OTU_983,MH862675|SH1639670.08FU,4.11e-128,99.595,247,460,Fungi,Ascomycota,Dothideomycetes,Botryosphaeriales,Phyllostictaceae,Phyllosticta,Phyllosticta_telopeae
OTU_982,MN065458|SH1552373.08FU,1.38e-120,96.800,250,435,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Schizothyriaceae,Schizothyrium,Schizothyrium_cylindricum
OTU_981,GU067644|SH1648703.08FU,9.24e-67,87.931,232,256,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Teratosphaeriaceae,Cystocoleus,Cystocoleus_ebeneus
OTU_980,MK153641|SH1566460.08FU,2.37e-23,100.000,58,112,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_flavobrunnescens
OTU_98,JQ411019|SH1541927.08FU,7.55e-130,99.600,250,465,Fungi,Ascomycota,Sordariomycetes,Hypocreales,Hypocreales_fam_Incertae_sedis,Acremonium,Acremonium_sp
OTU_979,GU942331|SH1516055.08FU,4.63e-124,97.600,250,446,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Strophariaceae,Psilocybe,Psilocybe_sp
OTU_978,HQ441576|SH1560221.08FU,7.14e-42,82.510,263,173,Fungi,Basidiomycota,Agaricomycetes,Auriculariales,Auriculariales_fam_Incertae_sedis,Oliveonia,Oliveonia_pauxilla
OTU_977,KJ668872|SH1608943.08FU,1.37e-109,97.890,237,398,Fungi,Basidiomycota,Agaricomycetes,Cantharellales,Ceratobasidiaceae,Ceratobasidium,Ceratobasidium_sp
OTU_976,GQ851895|SH1574445.08FU,2.24e-126,98.800,250,454,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Entolomataceae,Clitopilus,Clitopilus_sp
OTU_975,KR187108|SH1565552.08FU,8.21e-71,88.000,250,269,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales_sp
OTU_974,MN562130|SH3565284.08FU,7.19e-53,84.898,245,210,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Clypeosphaeria,Clypeosphaeria_oleae
OTU_973,KM462830|SH1192066.08FU,3.45e-44,87.037,162,181,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Vamsapriya,Vamsapriya_khunkonensis
OTU_972,GU328584|SH1180901.08FU,2.78e-85,90.283,247,317,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_sp
OTU_970,KR920363|SH1552800.08FU,3.65e-132,100.000,246,473,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Seimatosporium,Seimatosporium_vitis
OTU_97,KT222402|SH1567055.08FU,1.29e-21,100.000,55,106,Fungi,Ascomycota,Orbiliomycetes,Orbiliales,Orbiliaceae,Orbilia,Orbilia_cardui
OTU_969,UDB0543858|SH1529137.08FU,4.35e-25,95.714,70,117,Fungi,Basidiomycota,Agaricomycetes,Agaricales,Inocybaceae,Inocybe,Inocybe_sp
OTU_968,GU053830|SH1152137.08FU,5.11e-87,89.641,251,323,Fungi,Basidiomycota,Agaricomycetes,Trechisporales,Hydnodontaceae,Trechispora,Trechispora_sp
OTU_967,MT626057|SH1546026.08FU,9.64e-133,99.600,250,475,Fungi,Basidiomycota,Agaricostilbomycetes,Agaricostilbales,Agaricostilbaceae,Sterigmatomyces,Sterigmatomyces_halophilus
OTU_966,HQ211766|SH1154618.08FU,1.76e-123,98.008,251,444,Fungi,Ascomycota,Dothideomycetes,unidentified,unidentified,unidentified,Dothideomycetes_sp
OTU_965,KX891229|SH2594313.08FU,1.03e-51,83.721,258,206,Fungi,Ascomycota,Eurotiomycetes,Coryneliales,Coryneliaceae,Hypsotheca,Hypsotheca_maxima
OTU_964,KY413721|SH1563660.08FU,1.03e-40,96.000,100,169,Fungi,Ascomycota,Sordariomycetes,Xylariales,Beltraniaceae,unidentified,Beltraniaceae_sp
OTU_963,MH178698|SH1637147.08FU,5.67e-61,88.263,213,237,Fungi,Ascomycota,Sordariomycetes,unidentified,unidentified,unidentified,Sordariomycetes_sp
OTU_961,MF770887|SH2594348.08FU,1.51e-72,87.649,251,275,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Xylaria,Xylaria_sp
OTU_960,MF964293|SH1631612.08FU,1.77e-134,100.000,250,481,Fungi,Basidiomycota,Tremellomycetes,Filobasidiales,Filobasidiaceae,Filobasidium,Filobasidium_magnum
OTU_96,KU747795|SH1570003.08FU,3.94e-62,89.655,203,241,Fungi,Ascomycota,Sordariomycetes,Microascales,unidentified,unidentified,Microascales_sp
OTU_959,UDB0778925|SH1518633.08FU,1.92e-75,97.024,168,285,Fungi,Ascomycota,Leotiomycetes,Helotiales,Rutstroemiaceae,Rutstroemia,Rutstroemia_tiliacea
OTU_958,KU747632|SH2590477.08FU,2.78e-85,92.000,250,317,Fungi,Ascomycota,Sordariomycetes,Microascales,unidentified,unidentified,Microascales_sp
OTU_957,EU009962|SH1176692.08FU,5.71e-72,87.600,250,273,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,unidentified,Xylariaceae_sp
OTU_956,FJ612995|SH1520253.08FU,5.25e-131,99.200,250,469,Fungi,Ascomycota,Sordariomycetes,Chaetosphaeriales,Chaetosphaeriaceae,Tainosphaeria,Tainosphaeria_sp
OTU_955,MT627742|SH3567556.08FU,3.63e-121,98.755,241,437,Fungi,Ascomycota,Dothideomycetes,Pleosporales,unidentified,unidentified,Pleosporales_sp
OTU_954,KT949904|SH1563755.08FU,9.44e-100,91.288,264,365,Fungi,Ascomycota,Sordariomycetes,Xylariales,Amphisphaeriaceae,Lepteutypa,Lepteutypa_sambuci
OTU_953,JN673050|SH1237080.08FU,1.02e-29,94.382,89,133,Fungi,Ascomycota,Sordariomycetes,Sordariales,unidentified,unidentified,Sordariales_sp
OTU_952,KR812258|SH1168965.08FU,1.72e-90,90.244,246,335,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Ascomycota_sp
OTU_951,MH281881|SH1240469.08FU,1.74e-112,100.000,212,408,Fungi,Ascomycota,Dothideomycetes,Dothideomycetes_ord_Incertae_sedis,Dothideomycetes_fam_Incertae_sedis,Catinella,Catinella_sp
OTU_950,KU144638|SH1150017.08FU,3.11e-70,94.083,169,267,Fungi,Ascomycota,unidentified,unidentified,unidentified,unidentified,Pezizomycotina
OTU_95,MH863212|SH1548078.08FU,1.21e-113,95.984,249,412,Fungi,Ascomycota,Dothideomycetes,Capnodiales,Mycosphaerellaceae,Zasmidium,Zasmidium_queenslandicum
OTU_949,MH063042|SH1636094.08FU,5.79e-94,92.946,241,346,Fungi,Ascomycota,Eurotiomycetes,Chaetothyriales,Cyphellophoraceae,Cyphellophora,Cyphellophora_pluriseptata
OTU_948,KU747839|SH1149232.08FU,3.18e-103,99.510,204,377,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,unidentified,Xylariaceae_sp
OTU_947,KF800638|SH1193368.08FU,4.41e-47,95.614,114,191,Fungi,Ascomycota,Sordariomycetes,Microascales,unidentified,unidentified,Microascales_sp
OTU_946,MK432771|SH2592866.08FU,4.35e-25,83.942,137,117,Fungi,Ascomycota,Dothideomycetes,Asterinales,Asterinaceae,Placosoma,Placosoma_sp
OTU_945,MT183795|SH2750673.08FU,2.49e-100,94.468,235,367,Fungi,Ascomycota,Leotiomycetes,unidentified,unidentified,unidentified,Leotiomycetes_sp
OTU_944,KF646104|SH1645911.08FU,4.54e-91,90.476,252,337,Fungi,Ascomycota,Dothideomycetes,Pleosporales,Pleomassariaceae,Tumularia,Tumularia_sp
OTU_943,MN562130|SH3565284.08FU,1.71e-79,90.283,247,298,Fungi,Ascomycota,Sordariomycetes,Xylariales,Xylariaceae,Clypeosphaeria,Clypeosphaeria_oleae
OTU_942,UDB0779869|SH2715868.08FU,3.43e-33,97.531,81,144,Fungi,Ascomycota,Sordariomycetes,Hypocreales,unidentified,unidentified,Hypocreales_sp
